,Dataset,Classifier,Training accuracy,Validation accuracy,Classifier object
119,"['TFIDF', 'stem', 'english', (1, 2)]",svm,0.787455734132389,0.8044943820224719,"{'clf__C': 1, 'clf__kernel': 'linear'}"
120,"['TFIDF', 'stem', 'english', (2, 2)]",randomforests,0.4987741759738491,0.5107252298263534,{'clf__n_estimators': 500}
121,"['TFIDF', 'stem', 'english', (2, 2)]",logreg,0.6083492236447834,0.6177732379979571,"{'clf__C': 100, 'clf__penalty': 'l2'}"
122,"['TFIDF', 'stem', 'english', (2, 2)]",xgboost,0.48726505039498774,0.4917262512768131,{'clf__n_estimators': 1000}
123,"['TFIDF', 'stem', 'english', (2, 2)]",knn,0.4126259874693544,0.4034729315628192,{'clf__n_neighbors': 100}
124,"['TFIDF', 'stem', 'english', (2, 2)]",nb,0.6110051757014437,0.6312563840653729,"{'clf__alpha': 1, 'clf__fit_prior': False}"
125,"['TFIDF', 'stem', 'english', (2, 2)]",svm,0.5967719967311359,0.6126659856996935,"{'clf__C': 10, 'clf__kernel': 'linear'}"
126,"['TFIDF', 'stem', None, (1, 1)]",randomforests,0.696540452192863,0.6998978549540348,{'clf__n_estimators': 1000}
127,"['TFIDF', 'stem', None, (1, 1)]",logreg,0.8127894306728412,0.8300306435137896,"{'clf__C': 10, 'clf__penalty': 'l2'}"
128,"['TFIDF', 'stem', None, (1, 1)]",xgboost,0.7433260691909561,0.7632277834525025,{'clf__n_estimators': 1000}
129,"['TFIDF', 'stem', None, (1, 1)]",knn,0.7124761645328248,0.7129724208375894,{'clf__n_neighbors': 50}
130,"['TFIDF', 'stem', None, (1, 1)]",nb,0.8174203214383002,0.8296220633299285,"{'clf__alpha': 1, 'clf__fit_prior': False}"
131,"['TFIDF', 'stem', None, (1, 1)]",svm,0.8057749931898666,0.8126659856996936,"{'clf__C': 1, 'clf__kernel': 'linear'}"
132,"['TFIDF', 'stem', None, (1, 2)]",randomforests,0.6750204304004358,0.6782431052093973,{'clf__n_estimators': 1000}
133,"['TFIDF', 'stem', None, (1, 2)]",logreg,0.8244347589212748,0.8316649642492339,"{'clf__C': 100, 'clf__penalty': 'l2'}"
134,"['TFIDF', 'stem', None, (1, 2)]",xgboost,0.7444156905475348,0.7495403472931563,{'clf__n_estimators': 1000}
135,"['TFIDF', 'stem', None, (1, 2)]",knn,0.7164941432852084,0.7191011235955056,{'clf__n_neighbors': 50}
136,"['TFIDF', 'stem', None, (1, 2)]",nb,0.8001906837374012,0.8216547497446374,"{'clf__alpha': 0, 'clf__fit_prior': True}"
137,"['TFIDF', 'stem', None, (1, 2)]",svm,0.8259329882865705,0.8275791624106231,"{'clf__C': 10, 'clf__kernel': 'linear'}"
138,"['TFIDF', 'stem', None, (2, 2)]",randomforests,0.5771588123127214,0.5906026557711951,{'clf__n_estimators': 1000}
139,"['TFIDF', 'stem', None, (2, 2)]",logreg,0.7447561972214656,0.7511746680286007,"{'clf__C': 100, 'clf__penalty': 'l2'}"
140,"['TFIDF', 'stem', None, (2, 2)]",xgboost,0.6253064560065378,0.6398365679264556,{'clf__n_estimators': 1000}
141,"['TFIDF', 'stem', None, (2, 2)]",knn,0.646485971125034,0.664555669050051,{'clf__n_neighbors': 50}
142,"['TFIDF', 'stem', None, (2, 2)]",nb,0.7423726505039498,0.7540347293156282,"{'clf__alpha': 1, 'clf__fit_prior': False}"
